sta,net,lat,lon,ele,loc,chan,start,end,a,b,c,d
NSS01,TW,23.7944,120.9433,452.8,NSS01,BHE,2009-02-25T00:00:00Z,2009-06-11T06:07:11Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS01,TW,23.7944,120.9433,452.8,NSS01,BHN,2009-02-25T00:00:00Z,2009-06-11T06:05:53Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS01,TW,23.7944,120.9433,452.8,NSS01,BHZ,2009-02-25T00:00:00Z,2009-06-11T06:08:08Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS01,TW,23.7944,120.9433,452.8,NSS01,HHE,2009-02-25T00:00:00Z,2009-06-11T06:08:22Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS01,TW,23.7944,120.9433,452.8,NSS01,HHN,2009-02-25T00:00:00Z,2009-06-11T06:08:21Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS01,TW,23.7944,120.9433,452.8,NSS01,HHZ,2009-02-25T00:00:00Z,2009-06-11T06:08:43Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS02,TW,23.7689,120.8892,969.3,NSS02,BHE,2009-02-25T00:00:00Z,2009-06-11T05:12:13Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS02,TW,23.7689,120.8892,969.3,NSS02,BHN,2009-02-25T00:00:00Z,2009-06-11T05:14:08Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS02,TW,23.7689,120.8892,969.3,NSS02,BHZ,2009-02-25T00:00:00Z,2009-06-11T05:13:12Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS02,TW,23.7689,120.8892,969.3,NSS02,HHE,2009-02-25T00:00:00Z,2009-06-11T05:14:15Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS02,TW,23.7689,120.8892,969.3,NSS02,HHN,2009-02-25T00:00:00Z,2009-06-11T05:14:27Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS02,TW,23.7689,120.8892,969.3,NSS02,HHZ,2009-02-25T00:00:00Z,2009-06-11T05:14:21Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS03,TW,23.7116,120.8715,663.5,NSS03,BHE,2009-02-25T00:00:00Z,2009-06-11T02:44:25Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS03,TW,23.7116,120.8715,663.5,NSS03,BHN,2009-02-25T00:00:00Z,2009-06-11T02:44:49Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS03,TW,23.7116,120.8715,663.5,NSS03,BHZ,2009-02-25T00:00:00Z,2009-06-11T02:45:33Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS03,TW,23.7116,120.8715,663.5,NSS03,HHE,2009-02-25T00:00:00Z,2009-06-11T02:46:14Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS03,TW,23.7116,120.8715,663.5,NSS03,HHN,2009-02-25T00:00:00Z,2009-06-11T02:45:55Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS03,TW,23.7116,120.8715,663.5,NSS03,HHZ,2009-02-25T00:00:00Z,2009-06-11T02:46:14Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS04,TW,23.6351,120.8855,684.5,NSS04,HHE,2009-02-25T00:00:00Z,2009-06-11T03:06:29Z,0,90,0,Guralp CMG6TD Sensor for CCU/Guralp CMG6TD Datalog
